CMPL	1	31657	6aa1ccf9ecc8c60d
id	category	name	lat	lon	address	description
pali-bazaar	TOURIST	Pali Bazaar	19.062732	72.828587	Bandra West, Mumbai 400050	Market in Bandra West (400050).
trombay-market	TOURIST	Trombay Market	19.033751	72.948278	T F Deonar, Mumbai 400088	Market in T F Deonar (400088).
kena-market	TOURIST	Kena Market	19.057559	72.913248	Shivaji Nagar, Mumbai 400043	Market in Shivaji Nagar (400043).
sewri-fish-market	TOURIST	Sewri Fish Market	18.999159	72.849439	Sewri, Mumbai 400015	Market in Sewri (400015).
mulund-market	TOURIST	Mulund Market	19.172890	72.954274	Mulund West, Mumbai 400080	Market in Mulund West (400080).
dongri-bazaar	TOURIST	Dongri Bazaar	18.959231	72.837190	Chinchbunder, Mumbai 400009	Market in Chinchbunder (400009).
veermata-jijabhai-sculpture	TOURIST	Veermata Jijabhai Sculpture	18.978318	72.836378	VJB Udyan, Mumbai 400027	Monument in VJB Udyan (400027).
prabhadevi-beach	TOURIST	Prabhadevi Beach	19.018340	72.825279	Prabhadevi, Mumbai 400025	Beach in Prabhadevi (400025).
dadar-beach	TOURIST	Dadar Beach	19.022003	72.830606	Bhawani Shankar, Mumbai 400028	Beach in Bhawani Shankar (400028).
parle-market	TOURIST	Parle Market	19.099821	72.845174	Vile Parle East, Mumbai 400057	Market in Vile Parle East (400057).
bhattipada-market	TOURIST	Bhattipada Market	19.150089	72.936631	Bhandup West, Mumbai 400078	Market in Bhandup West (400078).
mulund-west-market	TOURIST	Mulund West Market	19.172459	72.955563	Mulund West, Mumbai 400080	Market in Mulund West (400080).
fish-market-3	TOURIST	Fish Market	19.185707	72.946617	Mulund West, Mumbai 400080	Market in Mulund West (400080).
vegetable-market	TOURIST	Vegetable Market	19.171757	72.957283	Mulund East, Mumbai 400081	Market in Mulund East (400081).
tuesday-evening-bazaar	TOURIST	Tuesday Evening Bazaar	19.167343	72.931986	Bhandup Complex, Mumbai 400082	Market in Bhandup Complex (400082).
ghatkopar-west-vegetable-market	TOURIST	Ghatkopar West Vegetable Market	19.087342	72.906749	Ghatkopar West, Mumbai 400086	Market in Ghatkopar West (400086).
ghatkopar-west-market	TOURIST	Ghatkopar West Market	19.086560	72.905678	Ghatkopar West, Mumbai 400086	Market in Ghatkopar West (400086).
fish-market-4	TOURIST	Fish Market	19.174968	72.961590	Mulund East, Mumbai 400081	Market in Mulund East (400081).
mulund-east-market	TOURIST	Mulund East Market	19.171733	72.957700	Mulund East, Mumbai 400081	Market in Mulund East (400081).
cooperage-stadium	TOURIST	Cooperage Stadium	18.924517	72.828607	Nariman Point, Mumbai 400021	Stadium in Nariman Point (400021).
veena-nagar-market	TOURIST	Veena Nagar Market	19.182218	72.945584	Mulund West, Mumbai 400080	Market in Mulund West (400080).
mahatma-gandhi	TOURIST	Mahatma Gandhi	18.928360	72.824969	Marine Lines, Mumbai 400020	Memorial in Marine Lines (400020).
dr-b-r-ambedkar-statue	TOURIST	Dr. B. R. Ambedkar Statue	19.070314	72.828565	Khar, Mumbai 400052	Memorial in Khar (400052).
kohli-stadium	TOURIST	Kohli Stadium	18.904546	72.805594	Colaba, Mumbai 400005	Stadium in Colaba (400005).
shivaji	TOURIST	Shivaji	19.045850	72.909553	T F Deonar, Mumbai 400088	Memorial in T F Deonar (400088).
kala-ghoda	TOURIST	Kala Ghoda	18.978748	72.835292	VJB Udyan, Mumbai 400027	Monument in VJB Udyan (400027).
bhimrao-ramji-ambedkar-memorial	TOURIST	Bhimrao Ramji Ambedkar memorial	18.926239	72.829652	Mantaralaya, Mumbai 400032	Memorial in Mantaralaya (400032).
hasnabad-mosoleum	TOURIST	Hasnabad Mosoleum	18.973353	72.839343	Mazgaon, Mumbai 400010	Monument in Mazgaon (400010).
chhatrapati-shivaji-maharaj-bust	TOURIST	Chhatrapati Shivaji Maharaj bust	19.132972	72.915278	IIT Powai, Mumbai 400076	Monument in IIT Powai (400076).
kabutar-khana	TOURIST	Kabutar Khana	19.018905	72.840452	Bhawani Shankar, Mumbai 400028	Monument in Bhawani Shankar (400028).
gandhi-memorial-column	TOURIST	Gandhi Memorial Column	18.962451	72.810667	Cumballa Hill, Mumbai 400026	Memorial in Cumballa Hill (400026).
chimbai-beach	TOURIST	Chimbai Beach	19.056221	72.823718	Bandra West, Mumbai 400050	Beach in Bandra West (400050).
custom-house	TOURIST	Custom House	19.047477	72.854152	Dharavi, Mumbai 400017	Monument in Dharavi (400017).
naval-uprising-memorial	TOURIST	Naval Uprising Memorial	18.922781	72.828955	Nariman Point, Mumbai 400021	Monument in Nariman Point (400021).
